Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
Scotmid|37-41 Boswall Parkway, Edinburgh EH5 2BR|EH5 2BR|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|236-240 Crewe Road North,  EH5 1LW|EH5 1LW|Edinburgh City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|113 Ferry Road,  EH6 4ET|EH6 4ET|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|137 Granton Road,  EH5 3NJ|EH5 3NJ|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|6 Bath Street, Portobello EH15 1EY|EH15 1EY|Edinburgh City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|236 Gorgie Road,  EH11 2PL|EH11 2PL|Edinburgh City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3a Lindsay Road, Leith EH6 4DT|EH6 4DT|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|85/87 Saughton Road North,  EH12 7JB|EH12 7JB|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 3/4 Ladysgate Court, Carronshore FK2 8HE|FK2 8HE|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|25-27 High Street,  FK4 1BZ|FK4 1BZ|Falkirk|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Wheatlands Avenue,  FK4 1PN|FK4 1PN|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Denny Road, Head Of Muir FK6 5LJ|FK6 5LJ|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|24 Johnston Avenue,  FK5 4JZ|FK5 4JZ|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2-4 East Baldridge Drive, Dunfermline KY12 9ET|KY12 9ET|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|94 Main Street, Cairneyhill KY12 8QU|KY12 8QU|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2 Laxford Road, Rimbleton KY6 2EB|KY6 2EB|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|48 High Street,  DD6 8AD|DD6 8AD|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|12 Castle Street,  DD6 9AF|DD6 9AF|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 3, 323 Hallhill Road, Barlanark G33 4RJ|G33 4RJ|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1111 Edinburgh Road, Cranhill G33 3QE|G33 3QE|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|7-9 Crookston Road,  G52 3QE|G52 3QE|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1125 Aitkenhead Road, Kingspark G44 5SL|G44 5SL|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Budhill Ave,  G32 0PW|G32 0PW|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|245/265 Clakston Road,  G44 3DT|G44 3DT|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|The Square,  IV4 7BX|IV4 7BX|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2-4 Mackintosh Road, Raigmore IV2 3TT|IV2 3TT|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|16a/18b Smithton Park, Smithton IV2 7PB|IV2 7PB|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|6 Hilton Village, Hilton IV2 4HT|IV2 4HT|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Balloan Shopping Centre, Balloan Road IV2 4PW|IV2 4PW|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2 Balmacaan Road,  IV63 6UQ|IV63 6UQ|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 1, Glenurquhart Road IV3 5NZ|IV3 5NZ|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|37 High Street, Avoch IV9 8PT|IV9 8PT|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 1, Bridgemill, Forres Road IV12 5AA|IV12 5AA|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Green Drive,  IV2 4EX|IV2 4EX|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 1, Woodside Village, Westhill IV2 5FT|IV2 5FT|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|34 The Square,  PH26 3HF|PH26 3HF|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Culloden Road,  IV2 7HQ|IV2 7HQ|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|38-42 Murdieston Street,  PA15 4SJ|PA15 4SJ|Inverclyde|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|114-116 Hunterfield Road, Gorebridge EH23 4TX|EH23 4TX|Midlothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|6 Mayfield Place, Mayfield EH22 5JG|EH22 5JG|Midlothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|18 Station Road,  EH25 9LR|EH25 9LR|Midlothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|79/83 Clerk Street,  EH20 9RE|EH20 9RE|Midlothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|70 Main Street,  EH22 4NE|EH22 4NE|Midlothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|103 Milton Drive,  AB56 1NZ|AB56 1NZ|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|9-11 Brander Street,  IV30 5XD|IV30 5XD|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|73 High Street,  IV32 7DH|IV32 7DH|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Southfield Drive,  IV30 6GR|IV30 6GR|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|22 North Street, Bishopmills IV30 4EF|IV30 4EF|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|317-319 Old Edinburgh Road,  G71 6PL|G71 6PL|North Lanarkshire|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|29a Main Street, Cleland ML1 5QW|ML1 5QW|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2 Carfin Street, New Stevenson ML1 4JL|ML1 4JL|North Lanarkshire|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|44 Main Street,  ML1 4TH|ML1 4TH|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|136G Manse Road, Newmains ML2 9BD|ML2 9BD|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|59-61 West Main Street,  ML7 5NL|ML7 5NL|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3 Market Place, Burnhead G71 5AL|G71 5AL|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|48 Forrest Street,  ML6 7AG|ML6 7AG|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|142 Bank Street,  ML5 1ET|ML5 1ET|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Units 5-8 Old Edinburgh Road, Viewpark G71 6LA|G71 6LA|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|57 Glenmanor Avenue,  G69 0LB|G69 0LB|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|53 Main Street, Invergowrie DD2 5AB|DD2 5AB|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|53-55 Airlie Street,  PH11 8AJ|PH11 8AJ|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|55-63 George Street,  PH13 9DJ|PH13 9DJ|Perth and Kinross|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|The Cross, 1/3 Commercial Street PH13 9AD|PH13 9AD|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|38 Main Street,  KA26 0NB|KA26 0NB|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|30-36 High Street,  ML8 4AJ|ML8 4AJ|South Lanarkshire|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|81 Old Mill Road,  G71 7PE|G71 7PE|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|15 Common Green,  ML10 6AQ|ML10 6AQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|55 Balgray Road,  ML11 0AF|ML11 0AF|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Birkhill Road,  ML3 8BG|ML3 8BG|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|45 Neilsland Road,  ML3 8NA|ML3 8NA|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|29 Drygate Street,  ML9 2DA|ML9 2DA|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3 Dunnet Court, West Craigs G72 0DE|G72 0DE|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|56 Coatshill Ave,  G72 9LE|G72 9LE|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|10 Stonefield Road,  G72 9PQ|G72 9PQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|169 Stonefield Road,  G72 9SD|G72 9SD|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|86/88 Calderwood Square,  G74 3BQ|G74 3BQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|10 Hawkwood,  G75 0DU|G75 0DU|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3 Severn Road, Gardenhall G75 8QZ|G75 8QZ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|4/6 Main Street,  FK7 8LY|FK7 8LY|Stirling|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1a/1b Tullichewan Drive,  G83 0JN|G83 0JN|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|170 Main Street, Jamestown G83 8PN|G83 8PN|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2 Freelands Place,  G60 5ED|G60 5ED|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|127/129 Riddell Street, Drumry G81 2DH|G81 2DH|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|165a Main Street,  G82 4PS|G82 4PS|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2 Main Street,  EH47 9JA|EH47 9JA|West Lothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|162 Nigel Rise, Dedridge EH54 6LX|EH54 6LX|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3 Drumshoreland Road, Pumpherston EH53 0LF|EH53 0LF|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|22-32 West Main Street,  EH48 3QA|EH48 3QA|West Lothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|34-36 Main Street,  EH52 6RT|EH52 6RT|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|22 Main Street,  EH55 8DR|EH55 8DR|West Lothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|9 East Main Street,  EH52 5DZ|EH52 5DZ|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|176 Main Street,  EH53 0EW|EH53 0EW|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|9/11 Main Street, Deans EH54 8BE|EH54 8BE|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|28 Glasgow Road,  EH48 2AG|EH48 2AG|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|2A Sycamore Walk,  EH47 7LH|EH47 7LH|West Lothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|63 East Main Street, Uphall EH52 5HZ|EH52 5HZ|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Unit 3 Redcraig Road,  EH53 0QJ|EH53 0QJ|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|26a Pumpherston Road, Uphall Station EH54 5PT|EH54 5PT|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|16 Main Street, Deans EH54 8DF|EH54 8DF|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Hatton Road, Rattray PH10 7AW|PH10 7AW|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|3 Craigour Road, (former Church) AB31 4HE|AB31 4HE|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|27 Millbank Road,  IV8 8NL|IV8 8NL|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Tillybrake Road,  AB31 5UN|AB31 5UN|Aberdeenshire|Convenience Store|Tobacco Only|Tillybrake Ltd|Inactive
Scotmid|2a Polbeth Road,  EH55 8SR|EH55 8SR|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|53-55 Station Road,  ML8 5LN|ML8 5LN|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|120 Kilsyth Road,  FK4 1HN|FK4 1HN|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|21 Gracemount Drive,  EH16 6RP|EH16 6RP|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|66 Linlithgow Road,  EH51 0HX|EH51 0HX|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|45 High Street,  KY11 1NL|KY11 1NL|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|160-162 Restalrig Road South, St Margarets EH7 6EH|EH7 6EH|Edinburgh City|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|38 Haymarket Terrace,  EH12 5JZ|EH12 5JZ|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Inactive
Scotmid|191-193 Duddingston Park South,  EH15 3EJ|EH15 3EJ|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|31 Elizabeth Drive,  EH48 1SJ|EH48 1SJ|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|91-95 East Main Street,  EH52 5EE|EH52 5EE|West Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|Tillybrake Road,  AB31 5UN|AB31 5UN|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|1 Carriers Croft,  IV63 6AG|IV63 6AG|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|88 Woodside Street ,  ML5 5NR|ML5 5NR|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
Scotmid|12 West Mains Avenue,  PH1 1QZ|PH1 1QZ|Perth and Kinross|Convenience Store|Tobacco And Nicotine Vapour Products|Scottish Midland Co-operative Society Limited|Active
scotnews|north berwick railway station, station road EH39 4AT|EH39 4AT|East Lothian|Other Retail|Tobacco Only|scotnews|Active
SCOTS CORNER|SCHOOL ROAD, LUTHERMUIR AB30 1YX|AB30 1YX|Aberdeenshire|Public House|Tobacco Only|SCOTS CORNER|Inactive
scots guards club|2 clifton terrace,  EH12 5DR|EH12 5DR|Edinburgh City|Private Club|Tobacco Only|scots guards club|Active
Scots tech|188, London road G40 1PB|G40 1PB|Glasgow City|Mobile Trade|Tobacco And Nicotine Vapour Products|Scots tech|Active
Scotstounhill Post Office & Convenience Store|6 Ristol Road, Glasgow G13 1UY|G13 1UY|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|S, S & P Sharma t/a Scotstounhill PO & Convenience Store|Active
Scott News ShopSmart|Scott News Shopsmart, 229 Saracen Street G22 5JW|G22 5JW|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Scott News|Active
scott street shop|49-53 scott street,  TD1 1HW|TD1 1HW|Scottish Borders|Convenience Store|Tobacco Only|scott street shop|Inactive
scott street stores|49 - 53 scott street ,  TD1 1HW|TD1 1HW|Scottish Borders|Convenience Store|Tobacco And Nicotine Vapour Products|Tweedbank late shop|Active
"scott""s ices"|24 spinningdale, stonehouse ML9 3QS|ML9 3QS|South Lanarkshire|Mobile Trade|Tobacco Only|scott's ices|Active
SCOTTISH PAPERS|303 SPRINGBURN WAY,  G21 1JX|G21 1JX|Glasgow City|Convenience Store|Tobacco Only|SCOTTISH PAPERS|Active
Scotts Bar and Restaurant|Troon Yacht Haven, Harbour Road KA10 6DJ|KA10 6DJ|South Ayrshire|Restaurant|Tobacco Only|Buzzworks Clairmont Ltd|Inactive
scotts convenience store|52 beltrees road, pollok G53 5TF|G53 5TF|Glasgow City|Convenience Store|Tobacco Only|scotts convenience store|Active
Scotts convience store|Turnpyke road, Crimond AB43 8QJ|AB43 8QJ|Aberdeenshire|Convenience Store|Tobacco Only|E & S Scott LTD|Inactive
Scott's Mist Brightons|29 Main Street, Brightons FK2 0JS|FK2 0JS|Falkirk|Other Retail|Nicotine Vapour Products Only|Scott's Mist Brightons Ltd.|Inactive
SCOTTS NEWSAGENT|123 DALRY ROAD,  EH11 2DR|EH11 2DR|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|SCOTTS NEWS|Active
Scottys|29 Yuill Avenue,  AB56 1NX|AB56 1NX|Moray|Public House|Tobacco Only|Mr & Mrs Pirie t/a Scotty's|Active
Scotty's Ices|23 Newton Crescent,  DD1 3JY|DD1 3JY|Angus|Mobile Trade|Tobacco Only|Scotty's Ice's|Active
Scotvapes |176 High Street,  IV30 1BA|IV30 1BA|Moray|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|2-4 Market Arcade, Academy Street IV1 1PG|IV1 1PG|Highland|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|293 George Street,  AB25 1EP|AB25 1EP|Aberdeen City|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|2 Olrig Street,  KW14 7BJ|KW14 7BJ|Highland|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes |65 High Street,  PH33 6DH|PH33 6DH|Highland|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|38 Holburn Street,  AB10 6BT|AB10 6BT|Aberdeen City|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|68 High Street,  DD10 8JF|DD10 8JF|Angus|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|11a Moss Street,  PA1 1BE|PA1 1BE|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scotvapes|73 High Street,  G1 1NB|G1 1NB|Glasgow City|Other Retail|Nicotine Vapour Products Only|Scotvapes Highland Ltd|Active
Scoup a Bargain|1197 Shettleston Road,  G32 7NB|G32 7NB|Glasgow City|Convenience Store|Tobacco Only|Scoup a Bargain|Active
Scourie Filling Station|The Pumps,  IV27 4SX|IV27 4SX|Highland|Forecourt Garage|Tobacco Only|Scourie Filling Station|Active
Scourie Hotel|Scourie, by Lairg IV27 4SX|IV27 4SX|Highland|Hotel|Tobacco Only|Scourie Hotel|Inactive
Scourie stores and post office|Scourie stores and post office, Scourie IV27 4TB|IV27 4TB|Highland|Convenience Store|Tobacco Only|Scourie stores and post office|Active
Scran|6C Lomond Drive, Bellsmyre G82 3AS|G82 3AS|West Dunbartonshire|Convenience Store|Tobacco And Nicotine Vapour Products|Scran|Active
screw it|Screw It, 89 Main Street FK17 8BQ|FK17 8BQ|Stirling|Other Retail|Nicotine Vapour Products Only|callander screw it limited|Active
screw it|Screw It, 89 Main Street FK17 8BQ|FK17 8BQ|Stirling|Other Retail|Nicotine Vapour Products Only|callander screw it limited|Inactive
SCS RETAIL 002 LIMITED|117 CEDAR DRIVE, GREENHILLS G75 9HZ|G75 9HZ|South Lanarkshire|Convenience Store|Tobacco Only|SCS RETAIL 002 LIMITED|Inactive
SD66 EEP|35 Lauchope Street, Chapelhall ML6 8SW|ML6 8SW|East Lothian, Falkirk, Fife, North Lanarkshire, Perth and Kinross, South Lanarkshire, West Lothian|Mobile Trade|Tobacco Only|Globetrotter Ices Limited|Active
Seafar|Seafar Road,  G67 1AP|G67 1AP|North Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|M Malik  Ltd.|Active
Seafar Convenience Store|Liddel Road Mini Market, 50 Liddel Road, Cumbernauld G67 1JD|G67 1JD|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|LIDDEL MINI MARKET LTD|Active
SEAFIELD |B & M Bargains Ltd, 64 Seafield Road EH6 7LW|EH6 7LW|Edinburgh City|Other Retail|Nicotine Vapour Products Only|B&M RETAIL|Active
Seafield Bowling Club|Old Rows, Seafield EH47 7AP|EH47 7AP|West Lothian|Sports Club|Tobacco Only|Cherwell Tobacco|Active
Seafield General Stores Ltd|Redhouse Road,  EH47 7AR|EH47 7AR|West Lothian|Convenience Store|Tobacco Only|Seafield General Store Ltd|Active
Seafield Newsagents|6 Seafield Road East,  EH15 1EB|EH15 1EB|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Seafield Newsagents|Active
Seafield Stores|43-45 Blackburn Drive,  KA7 2XW|KA7 2XW|South Ayrshire|Convenience Store|Tobacco Only|Seafield Stores|Active
Seaforth Highlanders Club|60 Dempster Street,  KW1 5QA|KW1 5QA|Highland|Private Club|Tobacco Only|Seaforth Highlanders Club|Active
Seafront Leisure Centre|Dundee Road,  DD11 2NP|DD11 2NP|Angus|Entertainment Venue|Tobacco Only|Loch Earn Caravan Parks Ltd.|Inactive
seagate convenience store|63 seagate,  DD1 2EH|DD1 2EH|Dundee City|Convenience Store|Tobacco Only|i ghaffar|Inactive
